-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::bmm         0.08%       2.319ms         0.10%       2.916ms      18.691us       3.454ms         0.12%       3.454ms      22.140us           156  
                   _fp8_paged_mqa_logits_rowwise_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.168ms         0.11%       3.168ms      10.775us           294  
                            _correct_attn_cp_out_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.009ms         0.11%       3.009ms       2.572us          1170  
nvjet_sm121_tst_mma_64x56x64_6_16x56x64_tmaAB_splitK...         0.00%       0.000us         0.00%       0.000us       0.000us       2.961ms         0.11%       2.961ms      39.485us            75  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.919ms         0.10%       2.919ms       0.982us          2972  
      triton_red_fused_fused_add_rms_norm_marlin_gemm_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.862ms         0.10%       2.862ms       3.533us           810  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.434ms         0.09%       2.434ms       2.164us          1125  
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.365ms         0.08%       2.365ms       2.102us          1125  
nvjet_sm121_tst_mma_64x112x64_4_16x112x64_tmaAB_bz_T...         0.00%       0.000us         0.00%       0.000us       0.000us       2.337ms         0.08%       2.337ms       2.337ms             1  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       2.193ms         0.08%       2.193ms       2.565us           855  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.162ms         0.08%       2.162ms       2.059us          1050  
              _convert_req_index_to_global_index_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.154ms         0.08%       2.154ms       1.841us          1170  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.042ms         0.07%       2.042ms      88.784us            23  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.983ms         0.07%       1.983ms       1.695us          1170  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.970ms         0.07%       1.970ms       1.970ms             1  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.782ms         0.06%       1.782ms       5.657us           315  
                             triton_poi_fused_add_mul_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.644ms         0.06%       1.644ms       1.461us          1125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.615ms         0.06%       1.615ms       1.380us          1170  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.462ms         0.05%       1.462ms       1.250us          1170  
                                         cudaEventQuery         0.11%       3.108ms         0.11%       3.108ms       0.588us       1.449ms         0.05%       1.449ms       0.274us          5285  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.444ms         0.05%       1.444ms       1.689us           855  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.388ms         0.05%       1.388ms       1.595us           870  
void vllm::indexer_k_quant_and_cache_kernel<__nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.306ms         0.05%       1.306ms       4.146us           315  
void vllm::persistent::persistent_topk_kernel<2048, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.258ms         0.04%       1.258ms       4.280us           294  
                                             aten::topk         0.01%     335.221us         0.03%     792.376us      37.732us       1.224ms         0.04%       1.319ms      62.803us            21  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.133ms         0.04%       1.133ms       4.195us           270  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.128ms         0.04%       1.128ms       0.964us          1170  
                                              aten::sum         0.02%     620.662us         0.04%       1.001ms      12.999us       1.096ms         0.04%       1.096ms      14.231us            77  
                           _moe_C::moe_align_block_size         0.02%     500.085us         0.06%       1.615ms      21.527us       1.052ms         0.04%       1.052ms      14.027us            75  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     979.304us         0.03%     979.304us     244.826us             4  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     883.241us         0.03%     883.241us       9.814us            90  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     854.122us         0.03%     854.122us       2.711us           315  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     791.653us         0.03%     791.653us       8.796us            90  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     772.039us         0.03%     772.039us       3.126us           247  
                                     aten::masked_fill_         0.02%     625.190us         0.05%       1.337ms       8.569us     742.150us         0.03%     742.150us       4.757us           156  
                                     triton_red_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     734.055us         0.03%     734.055us       2.447us           300  
                     _fused_indexer_q_rope_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     703.013us         0.03%     703.013us       2.232us           315  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     683.172us         0.02%     683.172us       7.591us            90  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     670.823us         0.02%     670.823us       2.236us           300  
                vllm::unified_mla_attention_with_output         0.88%      24.694ms         3.49%      98.282ms       1.260ms     623.653us         0.02%     106.101ms       1.360ms            78  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     583.107us         0.02%     583.107us       1.851us           315  
