-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::bmm         0.07%       1.906ms         0.09%       2.465ms      15.802us       3.440ms         0.12%       3.440ms      22.053us           156  
                   _fp8_paged_mqa_logits_rowwise_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.171ms         0.11%       3.171ms      10.786us           294  
      triton_red_fused_fused_add_rms_norm_marlin_gemm_2         0.00%       0.000us         0.00%       0.000us       0.000us       3.165ms         0.11%       3.165ms       3.908us           810  
                            _correct_attn_cp_out_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.027ms         0.11%       3.027ms       2.587us          1170  
nvjet_sm121_tst_mma_64x56x64_6_16x56x64_tmaAB_splitK...         0.00%       0.000us         0.00%       0.000us       0.000us       2.974ms         0.11%       2.974ms      39.659us            75  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.966ms         0.11%       2.966ms       0.998us          2972  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.515ms         0.09%       2.515ms       2.235us          1125  
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.385ms         0.09%       2.385ms       2.120us          1125  
              _convert_req_index_to_global_index_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.334ms         0.08%       2.334ms       1.995us          1170  
nvjet_sm121_tst_mma_64x112x64_4_16x112x64_tmaAB_bz_T...         0.00%       0.000us         0.00%       0.000us       0.000us       2.280ms         0.08%       2.280ms       2.280ms             1  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       2.195ms         0.08%       2.195ms       2.568us           855  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.144ms         0.08%       2.144ms       2.042us          1050  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.058ms         0.07%       2.058ms      89.468us            23  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.980ms         0.07%       1.980ms       1.980ms             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.965ms         0.07%       1.965ms       1.679us          1170  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.780ms         0.06%       1.780ms       5.651us           315  
                    cudaThreadExchangeStreamCaptureMode         0.01%     169.249us         0.01%     169.249us       0.256us       1.697ms         0.06%       1.697ms       2.572us           660  
                                         cudaEventQuery         0.10%       2.801ms         0.10%       2.805ms       0.531us       1.622ms         0.06%       1.622ms       0.307us          5285  
