-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::bmm         0.08%       2.245ms         0.10%       2.945ms      18.875us       3.484ms         0.13%       3.484ms      22.336us           156  
                   _fp8_paged_mqa_logits_rowwise_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.149ms         0.11%       3.149ms      10.712us           294  
      triton_red_fused_fused_add_rms_norm_marlin_gemm_2         0.00%       0.000us         0.00%       0.000us       0.000us       3.148ms         0.11%       3.148ms       3.887us           810  
                            _correct_attn_cp_out_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.021ms         0.11%       3.021ms       2.582us          1170  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.985ms         0.11%       2.985ms       1.004us          2972  
nvjet_sm121_tst_mma_64x56x64_6_16x56x64_tmaAB_splitK...         0.00%       0.000us         0.00%       0.000us       0.000us       2.847ms         0.10%       2.847ms      37.965us            75  
                                         cudaEventQuery         0.10%       2.790ms         0.10%       2.792ms       0.552us       2.590ms         0.09%       2.590ms       0.512us          5053  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.580ms         0.09%       2.580ms       2.293us          1125  
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.442ms         0.09%       2.442ms       2.170us          1125  
nvjet_sm121_tst_mma_64x112x64_4_16x112x64_tmaAB_bz_T...         0.00%       0.000us         0.00%       0.000us       0.000us       2.375ms         0.09%       2.375ms       2.375ms             1  
              _convert_req_index_to_global_index_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.202ms         0.08%       2.202ms       1.882us          1170  
