-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.585ms         0.13%       3.585ms       3.064us          1170  
                   _fp8_paged_mqa_logits_rowwise_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.157ms         0.11%       3.157ms      10.739us           294  
      triton_red_fused_fused_add_rms_norm_marlin_gemm_2         0.00%       0.000us         0.00%       0.000us       0.000us       3.130ms         0.11%       3.130ms       3.865us           810  
                            _correct_attn_cp_out_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.059ms         0.11%       3.059ms       2.614us          1170  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.053ms         0.11%       3.053ms       1.027us          2972  
nvjet_sm121_tst_mma_64x56x64_6_16x56x64_tmaAB_splitK...         0.00%       0.000us         0.00%       0.000us       0.000us       2.986ms         0.11%       2.986ms      39.810us            75  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.498ms         0.09%       2.498ms       2.220us          1125  
                    cudaThreadExchangeStreamCaptureMode         0.01%     184.658us         0.01%     184.658us       0.274us       2.487ms         0.09%       2.487ms       3.690us           674  
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.430ms         0.09%       2.430ms       2.160us          1125  
nvjet_sm121_tst_mma_64x112x64_4_16x112x64_tmaAB_bz_T...         0.00%       0.000us         0.00%       0.000us       0.000us       2.310ms         0.08%       2.310ms       2.310ms             1  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       2.229ms         0.08%       2.229ms       2.607us           855  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.149ms         0.08%       2.149ms       2.047us          1050  
              _convert_req_index_to_global_index_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.144ms         0.08%       2.144ms       1.832us          1170  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.124ms         0.08%       2.124ms      92.327us            23  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.969ms         0.07%       1.969ms       1.969ms             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.958ms         0.07%       1.958ms       1.673us          1170  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.794ms         0.06%       1.794ms       5.695us           315  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.710ms         0.06%       1.710ms       1.461us          1170  
                             triton_poi_fused_add_mul_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.631ms         0.06%       1.631ms       1.450us          1125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.523ms         0.05%       1.523ms       1.302us          1170  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.453ms         0.05%       1.453ms       1.699us           855  
void vllm::persistent::persistent_topk_kernel<2048, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.365ms         0.05%       1.365ms       4.643us           294  
void vllm::indexer_k_quant_and_cache_kernel<__nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.291ms         0.05%       1.291ms       4.099us           315  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.243ms         0.04%       1.243ms       1.428us           870  
                                             aten::topk         0.01%     236.566us         0.02%     651.993us      31.047us       1.216ms         0.04%       1.308ms      62.268us            21  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.163ms         0.04%       1.163ms       4.307us           270  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.130ms         0.04%       1.130ms       0.966us          1170  
                                              aten::sum         0.02%     514.148us         0.03%     848.568us      11.020us       1.105ms         0.04%       1.105ms      14.347us            77  
                           _moe_C::moe_align_block_size         0.02%     436.531us         0.05%       1.508ms      20.112us     984.264us         0.04%     984.264us      13.124us            75  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     975.654us         0.03%     975.654us     243.913us             4  
                                    Command Buffer Full         1.58%      44.663ms         1.58%      44.682ms     259.778us     941.955us         0.03%     941.955us       5.476us           172  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     901.956us         0.03%     901.956us       2.863us           315  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     861.546us         0.03%     861.546us       3.488us           247  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     853.765us         0.03%     853.765us       9.486us            90  
                                     aten::masked_fill_         0.02%     564.327us         0.04%       1.242ms       7.959us     837.125us         0.03%     838.725us       5.376us           156  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     767.428us         0.03%     767.428us       8.527us            90  
                                     triton_red_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     735.076us         0.03%     735.076us       2.450us           300  
                     _fused_indexer_q_rope_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     703.078us         0.03%     703.078us       2.232us           315  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     687.494us         0.02%     687.494us       2.292us           300  
                vllm::unified_mla_attention_with_output         0.83%      23.325ms         3.40%      95.958ms       1.230ms     651.492us         0.02%     107.477ms       1.378ms            78  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     634.661us         0.02%     634.661us       2.015us           315  
triton_red_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     622.055us         0.02%     622.055us       6.912us            90  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     571.557us         0.02%     571.557us       3.175us           180  
    triton_per_fused__to_copy_native_layer_norm_slice_3         0.00%       0.000us         0.00%       0.000us       0.000us     570.247us         0.02%     570.247us       1.901us           300  
                       _pack_dcp_topk_candidates_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     563.298us         0.02%     563.298us       1.788us           315  
                              vllm::sparse_attn_indexer         0.17%       4.877ms         0.40%      11.187ms     532.702us     562.305us         0.02%      10.601ms     504.830us            21  
                                 _fp8_mqa_logits_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     499.329us         0.02%     499.329us      23.778us            21  
                                              aten::cat         0.03%     712.214us         0.04%       1.253ms      10.104us     490.916us         0.02%     496.260us       4.002us           124  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     477.828us         0.02%     477.828us       1.517us           315  
void flashinfer::sampling::RadixTopKKernel_Unified<1...         0.00%       0.000us         0.00%       0.000us       0.000us     467.110us         0.02%     467.110us      15.570us            30  
                                              aten::all         0.02%     499.201us         0.03%     813.492us      10.429us     454.913us         0.02%     454.913us       5.832us            78  
                                            aten::fill_         0.03%     959.885us         0.12%       3.445ms       9.042us     448.230us         0.02%     451.078us       1.184us           381  
                                           _C::rms_norm         0.01%     419.170us         0.03%     813.765us       7.750us     432.963us         0.02%     432.963us       4.123us           105  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     431.685us         0.02%     431.685us       1.370us           315  
                                               memset32         0.00%       0.000us         0.00%       0.000us       0.000us     400.485us         0.01%     400.485us       1.362us           294  
                                   _moe_C::grouped_topk         0.02%     430.179us         0.05%       1.495ms      19.928us     382.916us         0.01%     382.916us       5.106us            75  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true...         0.00%       0.000us         0.00%       0.000us       0.000us     368.611us         0.01%     368.611us       4.096us            90  
triton_poi_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     363.874us         0.01%     363.874us       2.205us           165  
nvjet_sm121_tst_mma_192x16x64_3_32x16x64_tmaAB_split...         0.00%       0.000us         0.00%       0.000us       0.000us     356.994us         0.01%     356.994us      17.000us            21  
triton_red_fused_fused_add_rms_norm_moe_forward_shar...         0.03%     956.953us         0.04%       1.241ms      16.544us     350.722us         0.01%     350.722us       4.676us            75  
                  _C_cache_ops::reshape_and_cache_flash         0.01%     316.308us         0.02%     636.247us       7.069us     338.468us         0.01%     338.468us       3.761us            90  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.822s
Self CUDA time total: 2.808s

